Person_ID,Activity_Type,Activity_Frequency,Activity_Rating,Has_Social_Circle
Frist_2 Last name_51,Music,Daily,4,No
Frist_2 Last name_51,Reading,Weekly,3,No
Frist_2 Last name_51,Cooking,Monthly,5,Yes
Frist_2 Last name_15,Outdoor Sports,Weekly,1,No
Frist_2 Last name_87,Social Media,Rarely,2,No
Frist_2 Last name_87,Movies,Monthly,5,Yes
Frist_2 Last name_87,Reading,Daily,5,No
Frist_2 Last name_87,Traveling,Monthly,1,Yes
Frist_2 Last name_87,Cooking,Monthly,3,No
Frist_2 Last name_87,Volunteering,Daily,3,No
Frist_2 Last name_87,Outdoor Sports,Weekly,2,Yes
Frist_2 Last name_114,Cooking,Weekly,3,No
Frist_2 Last name_114,Traveling,Rarely,1,No
Frist_2 Last name_114,Volunteering,Weekly,5,No
Frist_2 Last name_114,Social Media,Weekly,5,Yes
Frist_2 Last name_114,Outdoor Sports,Daily,4,Yes
Frist_2 Last name_114,Movies,Monthly,5,Yes
Frist_2 Last name_22,Cooking,Monthly,3,Yes
Frist_2 Last name_22,Outdoor Sports,Monthly,1,Yes
Frist_2 Last name_22,Social Media,Monthly,4,Yes
Frist_2 Last name_22,Movies,Rarely,3,Yes
Frist_2 Last name_22,Music,Daily,2,Yes
Frist_2 Last name_22,Reading,Rarely,1,No
Frist_2 Last name_22,Volunteering,Daily,2,No
Frist_1 Last name_202,Reading,Rarely,2,Yes
Frist_1 Last name_202,Social Media,Weekly,4,Yes
Frist_1 Last name_202,Movies,Daily,1,No
Frist_1 Last name_202,Cooking,Weekly,3,No
Frist_1 Last name_218,Volunteering,Weekly,3,No
Frist_1 Last name_218,Reading,Weekly,2,No
Frist_1 Last name_218,Social Media,Monthly,4,Yes
Frist_1 Last name_218,Movies,Rarely,2,No
Frist_1 Last name_218,Outdoor Sports,Weekly,5,No
Frist_1 Last name_182,Reading,Rarely,3,Yes
Frist_1 Last name_166,Reading,Rarely,2,Yes
Frist_1 Last name_166,Social Media,Weekly,3,No
Frist_1 Last name_166,Traveling,Rarely,5,Yes
Frist_1 Last name_110,Traveling,Monthly,2,No
Frist_1 Last name_110,Reading,Rarely,4,Yes
Frist_1 Last name_110,Volunteering,Weekly,5,Yes
Frist_2 Last name_106,Volunteering,Monthly,4,No
Frist_1 Last name_146,Reading,Monthly,1,Yes
Frist_1 Last name_146,Volunteering,Daily,5,Yes
Frist_1 Last name_146,Traveling,Weekly,1,No
Frist_1 Last name_146,Movies,Weekly,2,Yes
Frist_1 Last name_146,Outdoor Sports,Daily,4,No
Frist_1 Last name_146,Social Media,Rarely,4,No
Frist_1 Last name_290,Cooking,Daily,2,No
Frist_1 Last name_290,Movies,Monthly,2,No
Frist_1 Last name_290,Reading,Daily,3,Yes
Frist_1 Last name_290,Social Media,Daily,1,Yes
Frist_1 Last name_290,Music,Rarely,1,No
Frist_1 Last name_290,Traveling,Weekly,5,No
Frist_1 Last name_290,Volunteering,Weekly,1,Yes
Frist_1 Last name_290,Outdoor Sports,Rarely,3,Yes
Frist_2 Last name_126,Cooking,Monthly,3,No
Frist_2 Last name_250,Traveling,Daily,5,No
Frist_2 Last name_250,Volunteering,Daily,2,Yes
Frist_2 Last name_250,Cooking,Rarely,4,Yes
Frist_2 Last name_250,Movies,Monthly,4,No
Frist_2 Last name_250,Outdoor Sports,Rarely,1,No
Frist_2 Last name_250,Reading,Rarely,4,No
Frist_1 Last name_22,Traveling,Daily,4,Yes
Frist_1 Last name_22,Outdoor Sports,Monthly,5,Yes
Frist_1 Last name_22,Volunteering,Daily,1,No
Frist_1 Last name_22,Cooking,Daily,2,No
Frist_1 Last name_130,Music,Rarely,3,Yes
Frist_1 Last name_130,Reading,Rarely,4,Yes
Frist_1 Last name_130,Movies,Daily,1,Yes
Frist_1 Last name_130,Outdoor Sports,Daily,4,No
Frist_1 Last name_130,Traveling,Daily,4,Yes
Frist_1 Last name_130,Volunteering,Weekly,2,Yes
Frist_1 Last name_130,Social Media,Daily,1,Yes
Frist_2 Last name_198,Reading,Rarely,5,No
Frist_2 Last name_198,Social Media,Daily,3,Yes
Frist_1 Last name_85,Movies,Monthly,2,No
Frist_1 Last name_85,Reading,Daily,3,No
Frist_1 Last name_85,Outdoor Sports,Rarely,1,No
Frist_1 Last name_85,Traveling,Monthly,1,No
Frist_1 Last name_254,Reading,Rarely,4,No
Frist_1 Last name_254,Music,Weekly,2,Yes
Frist_1 Last name_254,Outdoor Sports,Monthly,5,No
Frist_1 Last name_254,Traveling,Daily,1,No
Frist_1 Last name_254,Social Media,Weekly,4,Yes
Frist_1 Last name_254,Movies,Daily,4,Yes
Frist_1 Last name_254,Volunteering,Daily,4,No
Frist_2 Last name_162,Social Media,Monthly,5,Yes
Frist_2 Last name_162,Traveling,Rarely,4,Yes
Frist_2 Last name_162,Volunteering,Daily,5,Yes
Frist_2 Last name_162,Reading,Monthly,2,No
Frist_2 Last name_162,Music,Daily,5,Yes
Frist_2 Last name_162,Movies,Rarely,1,No
Frist_2 Last name_162,Cooking,Weekly,3,No
Frist_2 Last name_162,Outdoor Sports,Weekly,2,No
Frist_2 Last name_90,Reading,Daily,5,Yes
Frist_2 Last name_90,Social Media,Daily,1,No
Frist_2 Last name_90,Cooking,Monthly,3,No
Frist_1 Last name_274,Outdoor Sports,Weekly,3,No
Frist_2 Last name_142,Social Media,Rarely,2,No
Frist_1 Last name_238,Social Media,Weekly,5,Yes
Frist_1 Last name_238,Outdoor Sports,Weekly,4,No
Frist_1 Last name_238,Traveling,Weekly,2,Yes
Frist_1 Last name_238,Music,Daily,5,Yes
Frist_1 Last name_238,Movies,Daily,5,No
Frist_1 Last name_238,Volunteering,Weekly,2,No
Frist_1 Last name_265,Outdoor Sports,Rarely,1,No
Frist_1 Last name_265,Volunteering,Daily,1,No
Frist_1 Last name_265,Traveling,Daily,2,No
Frist_1 Last name_94,Traveling,Weekly,2,Yes
Frist_1 Last name_94,Reading,Weekly,3,Yes
Frist_1 Last name_94,Movies,Weekly,4,No
Frist_1 Last name_94,Cooking,Daily,1,Yes
Frist_1 Last name_94,Social Media,Rarely,2,No
Frist_2 Last name_259,Volunteering,Weekly,1,Yes
Frist_2 Last name_259,Social Media,Monthly,5,Yes
Frist_2 Last name_259,Movies,Monthly,4,No
Frist_2 Last name_259,Music,Daily,4,No
Frist_2 Last name_259,Reading,Weekly,3,Yes
Frist_2 Last name_259,Traveling,Daily,2,No
Frist_2 Last name_259,Outdoor Sports,Rarely,5,Yes
Frist_2 Last name_259,Cooking,Rarely,4,Yes
Frist_2 Last name_223,Social Media,Monthly,1,No
Frist_2 Last name_223,Volunteering,Daily,5,No
Frist_2 Last name_223,Reading,Monthly,3,No
Frist_2 Last name_223,Traveling,Daily,3,Yes
Frist_2 Last name_223,Cooking,Weekly,2,No
Frist_2 Last name_223,Music,Daily,5,No
Frist_2 Last name_223,Movies,Monthly,3,No
Frist_1 Last name_58,Reading,Monthly,1,Yes
Frist_1 Last name_58,Traveling,Rarely,4,Yes
Frist_1 Last name_58,Social Media,Rarely,5,No
Frist_1 Last name_58,Cooking,Weekly,1,No
Frist_1 Last name_74,Movies,Monthly,1,Yes
Frist_1 Last name_74,Social Media,Rarely,4,No
Frist_1 Last name_74,Music,Daily,5,Yes
Frist_1 Last name_74,Volunteering,Daily,1,Yes
Frist_1 Last name_74,Traveling,Monthly,4,No
Frist_1 Last name_74,Cooking,Daily,2,Yes
Frist_1 Last name_74,Outdoor Sports,Rarely,2,Yes
Frist_1 Last name_38,Traveling,Weekly,3,No
Frist_1 Last name_38,Social Media,Weekly,3,Yes
Frist_1 Last name_38,Cooking,Weekly,5,No
Frist_1 Last name_38,Reading,Weekly,5,No
Frist_1 Last name_38,Outdoor Sports,Daily,5,Yes
Frist_1 Last name_38,Movies,Monthly,1,Yes
Frist_1 Last name_38,Volunteering,Rarely,4,No
Frist_1 Last name_38,Music,Weekly,2,Yes
Frist_2 Last name_63,Cooking,Monthly,1,No
Frist_2 Last name_63,Outdoor Sports,Daily,4,Yes
Frist_2 Last name_63,Volunteering,Rarely,3,No
Frist_2 Last name_63,Reading,Rarely,5,Yes
Frist_2 Last name_63,Social Media,Rarely,5,Yes
Frist_2 Last name_63,Traveling,Rarely,5,Yes
Frist_2 Last name_63,Music,Weekly,1,No
Frist_2 Last name_7,Movies,Weekly,3,No
Frist_2 Last name_7,Social Media,Rarely,1,Yes
Frist_2 Last name_7,Reading,Rarely,3,No
Frist_2 Last name_7,Outdoor Sports,Daily,4,Yes
Frist_2 Last name_7,Volunteering,Weekly,5,No
Frist_2 Last name_7,Traveling,Weekly,2,No
Frist_2 Last name_99,Music,Weekly,3,Yes
Frist_2 Last name_99,Volunteering,Monthly,5,No
Frist_2 Last name_99,Movies,Monthly,3,Yes
Frist_2 Last name_99,Social Media,Monthly,1,No
Frist_2 Last name_99,Reading,Rarely,4,Yes
Frist_1 Last name_173,Movies,Daily,2,No
Frist_1 Last name_173,Social Media,Weekly,4,Yes
Frist_1 Last name_173,Cooking,Weekly,1,Yes
Frist_1 Last name_173,Reading,Monthly,3,Yes
Frist_1 Last name_173,Music,Daily,3,Yes
Frist_1 Last name_193,Reading,Daily,5,No
Frist_1 Last name_193,Movies,Weekly,1,No
Frist_1 Last name_193,Social Media,Monthly,3,No
Frist_2 Last name_187,Outdoor Sports,Monthly,5,Yes
Frist_2 Last name_187,Reading,Rarely,4,No
Frist_2 Last name_214,Cooking,Monthly,1,No
Frist_2 Last name_214,Reading,Daily,5,Yes
Frist_2 Last name_214,Social Media,Weekly,2,Yes
Frist_2 Last name_214,Volunteering,Daily,2,Yes
Frist_2 Last name_214,Movies,Rarely,1,Yes
Frist_2 Last name_214,Traveling,Monthly,4,Yes
Frist_2 Last name_214,Outdoor Sports,Rarely,4,Yes
Frist_2 Last name_214,Music,Monthly,3,Yes
Frist_2 Last name_34,Reading,Rarely,1,No
Frist_2 Last name_27,Music,Rarely,4,Yes
Frist_2 Last name_27,Social Media,Daily,2,Yes
Frist_2 Last name_27,Movies,Rarely,5,Yes
Frist_2 Last name_27,Outdoor Sports,Rarely,5,Yes
Frist_2 Last name_27,Cooking,Monthly,5,No
Frist_2 Last name_27,Reading,Rarely,5,No
Frist_1 Last name_65,Traveling,Weekly,5,Yes
Frist_1 Last name_65,Outdoor Sports,Weekly,2,No
Frist_1 Last name_65,Cooking,Rarely,4,No
Frist_1 Last name_65,Volunteering,Daily,3,Yes
Frist_1 Last name_29,Cooking,Weekly,3,No
Frist_1 Last name_29,Outdoor Sports,Daily,3,Yes
Frist_1 Last name_29,Social Media,Monthly,3,Yes
Frist_1 Last name_29,Traveling,Weekly,5,Yes
Frist_1 Last name_29,Reading,Daily,2,Yes
Frist_1 Last name_157,Reading,Daily,5,No
Frist_1 Last name_157,Movies,Rarely,3,No
Frist_1 Last name_157,Social Media,Monthly,3,No
Frist_1 Last name_157,Cooking,Daily,4,No
Frist_1 Last name_157,Traveling,Monthly,3,No
Frist_1 Last name_157,Music,Rarely,2,Yes
Frist_1 Last name_157,Outdoor Sports,Daily,5,No
Frist_2 Last name_79,Volunteering,Daily,5,No
Frist_2 Last name_79,Reading,Weekly,1,No
Frist_2 Last name_79,Social Media,Monthly,5,No
Frist_2 Last name_79,Cooking,Monthly,2,Yes
Frist_1 Last name_121,Social Media,Daily,1,No
Frist_1 Last name_121,Movies,Monthly,3,No
Frist_1 Last name_229,Traveling,Daily,5,Yes
Frist_1 Last name_229,Social Media,Rarely,1,Yes
Frist_1 Last name_229,Movies,Monthly,2,No
Frist_1 Last name_229,Volunteering,Monthly,3,Yes
Frist_1 Last name_229,Outdoor Sports,Monthly,3,Yes
Frist_1 Last name_229,Reading,Daily,2,No
Frist_1 Last name_229,Music,Weekly,4,Yes
Frist_1 Last name_229,Cooking,Rarely,3,Yes
Frist_1 Last name_137,Reading,Weekly,5,No
Frist_1 Last name_137,Traveling,Daily,2,Yes
Frist_1 Last name_137,Movies,Monthly,3,Yes
Frist_1 Last name_137,Music,Daily,5,Yes
Frist_1 Last name_137,Social Media,Daily,1,Yes
Frist_1 Last name_137,Volunteering,Daily,1,Yes
Frist_1 Last name_137,Outdoor Sports,Weekly,2,No
Frist_1 Last name_137,Cooking,Weekly,5,No
Frist_2 Last name_70,Cooking,Rarely,1,Yes
Frist_2 Last name_70,Social Media,Daily,3,Yes
Frist_2 Last name_70,Traveling,Monthly,4,No
Frist_2 Last name_70,Music,Rarely,4,No
Frist_1 Last name_101,Cooking,Rarely,1,No
Frist_1 Last name_101,Movies,Weekly,4,Yes
Frist_1 Last name_101,Reading,Weekly,4,No
Frist_1 Last name_101,Traveling,Weekly,5,No
Frist_1 Last name_101,Outdoor Sports,Daily,1,Yes
Frist_1 Last name_101,Social Media,Weekly,5,Yes
Frist_1 Last name_101,Volunteering,Rarely,3,Yes
Frist_2 Last name_115,Volunteering,Rarely,1,Yes
Frist_2 Last name_115,Cooking,Rarely,4,Yes
Frist_2 Last name_115,Music,Rarely,4,No
Frist_2 Last name_270,Outdoor Sports,Rarely,3,No
Frist_2 Last name_270,Reading,Rarely,1,No
Frist_2 Last name_270,Social Media,Rarely,5,No
Frist_2 Last name_270,Cooking,Weekly,2,No
Frist_2 Last name_270,Movies,Monthly,3,No
Frist_2 Last name_270,Traveling,Weekly,1,No
Frist_1 Last name_49,Cooking,Rarely,2,No
Frist_1 Last name_49,Music,Rarely,3,Yes
Frist_1 Last name_49,Movies,Monthly,2,Yes
Frist_1 Last name_49,Reading,Weekly,1,Yes
Frist_2 Last name_151,Volunteering,Monthly,4,No
Frist_2 Last name_151,Outdoor Sports,Daily,1,No
Frist_2 Last name_178,Reading,Monthly,1,Yes
Frist_2 Last name_178,Outdoor Sports,Weekly,4,Yes
Frist_2 Last name_178,Cooking,Monthly,1,Yes
Frist_2 Last name_178,Music,Daily,3,No
Frist_2 Last name_178,Movies,Rarely,2,No
Frist_2 Last name_178,Volunteering,Daily,4,No
Frist_2 Last name_178,Traveling,Rarely,5,No
Frist_2 Last name_178,Social Media,Weekly,1,No
Frist_1 Last name_209,Volunteering,Daily,4,No
Frist_1 Last name_209,Music,Weekly,5,Yes
Frist_1 Last name_209,Cooking,Monthly,3,Yes
Frist_1 Last name_209,Outdoor Sports,Daily,3,No
Frist_1 Last name_209,Reading,Daily,5,Yes
Frist_1 Last name_209,Movies,Monthly,3,No
Frist_1 Last name_209,Traveling,Monthly,3,Yes
Frist_1 Last name_245,Traveling,Weekly,3,Yes
Frist_1 Last name_245,Cooking,Daily,5,Yes
Frist_2 Last name_234,Movies,Monthly,2,No
Frist_2 Last name_234,Music,Weekly,5,No
Frist_2 Last name_234,Traveling,Daily,1,No
Frist_2 Last name_234,Cooking,Monthly,2,Yes
Frist_2 Last name_243,Outdoor Sports,Rarely,2,No
Frist_2 Last name_243,Reading,Rarely,3,No
Frist_2 Last name_54,Reading,Rarely,5,No
Frist_2 Last name_18,Traveling,Weekly,1,No
Frist_2 Last name_18,Cooking,Monthly,2,No
Frist_2 Last name_18,Music,Rarely,2,No
Frist_2 Last name_18,Movies,Weekly,3,Yes
Frist_2 Last name_18,Outdoor Sports,Rarely,4,No
Frist_2 Last name_18,Volunteering,Rarely,2,Yes
Frist_1 Last name_13,Social Media,Daily,4,No
Frist_1 Last name_13,Outdoor Sports,Daily,4,Yes
Frist_2 Last name_279,Reading,Weekly,1,Yes
Frist_2 Last name_279,Volunteering,Weekly,4,No
Frist_2 Last name_279,Movies,Daily,1,Yes
Frist_2 Last name_279,Social Media,Daily,3,No
Frist_2 Last name_279,Outdoor Sports,Daily,5,No
Frist_2 Last name_279,Cooking,Monthly,4,Yes
Frist_2 Last name_135,Music,Weekly,1,No
Frist_2 Last name_135,Reading,Weekly,1,No
Frist_2 Last name_135,Volunteering,Rarely,5,Yes
Frist_2 Last name_135,Traveling,Daily,1,No
Frist_2 Last name_135,Cooking,Rarely,5,Yes
Frist_2 Last name_135,Social Media,Monthly,4,No
Frist_2 Last name_135,Movies,Monthly,2,Yes
Frist_2 Last name_171,Volunteering,Daily,4,Yes
Frist_2 Last name_207,Cooking,Weekly,2,No
Frist_2 Last name_207,Traveling,Weekly,2,Yes
Frist_2 Last name_62,Outdoor Sports,Daily,3,No
Frist_2 Last name_62,Traveling,Monthly,5,Yes
Frist_2 Last name_62,Volunteering,Weekly,4,Yes
Frist_1 Last name_237,Social Media,Daily,2,Yes
Frist_1 Last name_237,Traveling,Rarely,2,No
Frist_1 Last name_237,Outdoor Sports,Weekly,4,Yes
Frist_2 Last name_98,Movies,Weekly,3,No
Frist_2 Last name_98,Outdoor Sports,Daily,2,No
Frist_2 Last name_98,Volunteering,Weekly,1,No
Frist_2 Last name_98,Reading,Weekly,3,No
Frist_2 Last name_98,Social Media,Monthly,3,Yes
Frist_1 Last name_129,Movies,Monthly,5,No
Frist_1 Last name_129,Traveling,Rarely,5,Yes
Frist_1 Last name_129,Music,Monthly,3,Yes
Frist_1 Last name_129,Volunteering,Daily,2,Yes
Frist_1 Last name_201,Outdoor Sports,Daily,1,No
Frist_2 Last name_278,Music,Monthly,5,No
Frist_2 Last name_278,Social Media,Rarely,2,Yes
Frist_2 Last name_278,Cooking,Daily,1,No
Frist_2 Last name_278,Traveling,Daily,2,Yes
Frist_2 Last name_278,Reading,Rarely,2,Yes
Frist_1 Last name_210,Cooking,Weekly,3,No
Frist_2 Last name_35,Traveling,Weekly,1,No
Frist_1 Last name_246,Outdoor Sports,Monthly,3,No
Frist_1 Last name_246,Volunteering,Weekly,2,Yes
Frist_1 Last name_246,Social Media,Weekly,1,No
Frist_1 Last name_246,Music,Monthly,1,Yes
Frist_1 Last name_246,Traveling,Monthly,3,No
Frist_1 Last name_246,Cooking,Weekly,2,Yes
Frist_1 Last name_246,Movies,Daily,5,No
Frist_2 Last name_26,Traveling,Rarely,5,Yes
Frist_2 Last name_26,Reading,Daily,3,No
Frist_2 Last name_26,Movies,Weekly,4,Yes
Frist_2 Last name_26,Social Media,Rarely,1,Yes
Frist_2 Last name_26,Volunteering,Weekly,2,No
Frist_2 Last name_26,Cooking,Daily,4,Yes
Frist_2 Last name_26,Music,Monthly,2,Yes
Frist_1 Last name_273,Music,Rarely,3,Yes
Frist_1 Last name_273,Volunteering,Rarely,2,Yes
Frist_1 Last name_273,Outdoor Sports,Daily,3,Yes
Frist_2 Last name_251,Social Media,Monthly,2,No
Frist_2 Last name_215,Social Media,Daily,1,Yes
Frist_2 Last name_215,Cooking,Monthly,3,No
Frist_2 Last name_215,Traveling,Daily,5,Yes
Frist_2 Last name_215,Volunteering,Rarely,1,Yes
Frist_2 Last name_215,Reading,Rarely,4,No
Frist_2 Last name_215,Music,Daily,1,Yes
Frist_2 Last name_71,Volunteering,Monthly,2,No
Frist_2 Last name_71,Music,Weekly,5,No
Frist_2 Last name_71,Movies,Monthly,1,Yes
Frist_2 Last name_71,Social Media,Rarely,2,No
Frist_2 Last name_71,Outdoor Sports,Weekly,1,Yes
Frist_2 Last name_71,Cooking,Weekly,5,Yes
Frist_2 Last name_71,Reading,Monthly,1,No
Frist_1 Last name_21,Reading,Rarely,3,No
Frist_2 Last name_179,Volunteering,Daily,2,No
Frist_2 Last name_179,Movies,Weekly,5,No
Frist_2 Last name_179,Reading,Monthly,1,No
Frist_2 Last name_179,Outdoor Sports,Rarely,3,Yes
Frist_2 Last name_170,Cooking,Rarely,1,Yes
Frist_2 Last name_170,Volunteering,Monthly,4,No
Frist_1 Last name_165,Music,Weekly,2,Yes
Frist_1 Last name_165,Outdoor Sports,Weekly,2,No
Frist_1 Last name_165,Cooking,Monthly,5,No
Frist_1 Last name_165,Traveling,Rarely,2,No
Frist_1 Last name_165,Volunteering,Daily,5,No
Frist_2 Last name_143,Music,Rarely,3,Yes
Frist_2 Last name_143,Movies,Rarely,1,No
Frist_2 Last name_134,Traveling,Weekly,4,No
Frist_2 Last name_134,Cooking,Daily,4,Yes
Frist_2 Last name_107,Outdoor Sports,Weekly,4,Yes
Frist_2 Last name_107,Social Media,Daily,3,Yes
Frist_2 Last name_107,Movies,Weekly,5,No
Frist_2 Last name_107,Reading,Daily,3,No
Frist_1 Last name_138,Music,Weekly,3,No
Frist_1 Last name_138,Traveling,Rarely,1,Yes
Frist_1 Last name_138,Social Media,Monthly,3,No
Frist_1 Last name_66,Movies,Daily,4,No
Frist_2 Last name_242,Movies,Rarely,2,Yes
Frist_2 Last name_242,Reading,Daily,5,No
Frist_2 Last name_242,Social Media,Daily,2,Yes
Frist_2 Last name_242,Music,Weekly,5,No
Frist_2 Last name_206,Cooking,Weekly,3,Yes
Frist_2 Last name_206,Traveling,Weekly,3,Yes
Frist_1 Last name_30,Outdoor Sports,Monthly,4,Yes
Frist_1 Last name_30,Reading,Rarely,2,Yes
Frist_1 Last name_30,Movies,Weekly,2,No
Frist_1 Last name_30,Volunteering,Daily,3,No
Frist_1 Last name_30,Cooking,Daily,5,No
Frist_1 Last name_30,Traveling,Daily,5,No
Frist_1 Last name_174,Music,Monthly,1,No
Frist_1 Last name_174,Movies,Daily,1,No
Frist_1 Last name_174,Cooking,Monthly,2,No
Frist_1 Last name_174,Outdoor Sports,Daily,5,Yes
Frist_1 Last name_174,Reading,Weekly,4,No
Frist_1 Last name_174,Traveling,Rarely,2,Yes
Frist_1 Last name_174,Volunteering,Daily,1,Yes
Frist_1 Last name_174,Social Media,Monthly,1,No
Frist_1 Last name_93,Social Media,Daily,3,Yes
Frist_1 Last name_93,Music,Monthly,3,No
Frist_1 Last name_93,Traveling,Weekly,3,No
Frist_1 Last name_57,Music,Daily,5,Yes
Frist_1 Last name_57,Movies,Monthly,2,No
Frist_1 Last name_102,Traveling,Monthly,2,No
Frist_1 Last name_149,Cooking,Monthly,5,No
Frist_1 Last name_149,Music,Monthly,2,No
Frist_1 Last name_149,Social Media,Monthly,2,No
Frist_1 Last name_149,Movies,Weekly,4,No
Frist_1 Last name_149,Traveling,Rarely,3,Yes
Frist_2 Last name_19,Music,Weekly,5,Yes
Frist_2 Last name_19,Cooking,Rarely,2,No
Frist_1 Last name_194,Reading,Rarely,2,Yes
Frist_1 Last name_194,Volunteering,Weekly,1,No
Frist_1 Last name_194,Music,Weekly,5,Yes
Frist_1 Last name_194,Outdoor Sports,Daily,2,Yes
Frist_1 Last name_194,Movies,Rarely,3,Yes
Frist_1 Last name_194,Traveling,Weekly,3,Yes
Frist_1 Last name_194,Social Media,Weekly,1,Yes
Frist_1 Last name_194,Cooking,Monthly,4,Yes
Frist_1 Last name_41,Music,Weekly,3,No
Frist_1 Last name_41,Social Media,Weekly,4,Yes
Frist_1 Last name_41,Movies,Daily,2,Yes
Frist_1 Last name_41,Traveling,Daily,5,Yes
Frist_1 Last name_41,Outdoor Sports,Daily,3,No
Frist_1 Last name_41,Cooking,Rarely,4,No
Frist_1 Last name_41,Volunteering,Weekly,1,Yes
Frist_1 Last name_113,Social Media,Monthly,3,Yes
Frist_1 Last name_266,Cooking,Rarely,4,Yes
Frist_1 Last name_266,Music,Daily,4,Yes
Frist_1 Last name_266,Volunteering,Daily,2,No
Frist_1 Last name_77,Social Media,Daily,3,No
Frist_1 Last name_77,Traveling,Daily,5,Yes
Frist_2 Last name_118,Traveling,Monthly,3,No
Frist_2 Last name_118,Outdoor Sports,Daily,2,Yes
Frist_1 Last name_185,Traveling,Weekly,1,Yes
Frist_1 Last name_185,Outdoor Sports,Daily,4,Yes
Frist_1 Last name_185,Music,Monthly,5,Yes
Frist_1 Last name_185,Reading,Rarely,2,Yes
Frist_1 Last name_185,Cooking,Monthly,3,No
Frist_1 Last name_185,Movies,Weekly,3,Yes
Frist_1 Last name_221,Music,Rarely,1,Yes
Frist_1 Last name_221,Cooking,Daily,4,Yes
Frist_1 Last name_221,Outdoor Sports,Daily,2,Yes
Frist_1 Last name_221,Social Media,Monthly,2,No
Frist_1 Last name_257,Movies,Weekly,4,No
Frist_1 Last name_14,Reading,Weekly,3,Yes
Frist_1 Last name_14,Music,Weekly,5,No
Frist_1 Last name_14,Movies,Daily,2,No
Frist_1 Last name_14,Cooking,Rarely,5,Yes
Frist_2 Last name_190,Movies,Weekly,1,Yes
Frist_2 Last name_190,Outdoor Sports,Monthly,1,No
Frist_2 Last name_190,Traveling,Monthly,1,No
Frist_2 Last name_226,Movies,Rarely,1,No
Frist_2 Last name_226,Cooking,Weekly,1,No
Frist_2 Last name_226,Outdoor Sports,Rarely,1,Yes
Frist_2 Last name_226,Social Media,Monthly,1,Yes
Frist_2 Last name_226,Volunteering,Monthly,3,No
Frist_2 Last name_226,Reading,Rarely,1,No
Frist_1 Last name_50,Traveling,Weekly,3,No
Frist_1 Last name_50,Cooking,Rarely,2,No
Frist_1 Last name_50,Music,Daily,5,Yes
Frist_1 Last name_50,Outdoor Sports,Daily,5,Yes
Frist_2 Last name_55,Volunteering,Weekly,3,Yes
Frist_2 Last name_55,Cooking,Monthly,2,Yes
Frist_1 Last name_230,Cooking,Rarely,4,No
Frist_1 Last name_230,Reading,Monthly,2,Yes
Frist_1 Last name_230,Outdoor Sports,Weekly,1,Yes
Frist_1 Last name_230,Music,Weekly,1,No
Frist_1 Last name_230,Volunteering,Weekly,2,No
Frist_1 Last name_230,Movies,Weekly,1,No
Frist_1 Last name_230,Social Media,Rarely,5,No
Frist_1 Last name_230,Traveling,Weekly,1,No
Frist_2 Last name_154,Movies,Monthly,5,No
Frist_2 Last name_154,Outdoor Sports,Daily,5,No
Frist_2 Last name_154,Cooking,Daily,3,Yes
Frist_2 Last name_154,Traveling,Rarely,2,Yes
Frist_2 Last name_154,Volunteering,Weekly,3,No
Frist_1 Last name_86,Cooking,Weekly,2,Yes
Frist_1 Last name_86,Volunteering,Monthly,2,No
Frist_1 Last name_86,Outdoor Sports,Monthly,2,No
Frist_1 Last name_86,Music,Rarely,4,Yes
Frist_1 Last name_122,Movies,Weekly,3,Yes
Frist_1 Last name_158,Cooking,Monthly,2,No
Frist_1 Last name_158,Outdoor Sports,Rarely,5,No
Frist_1 Last name_158,Social Media,Weekly,2,No
Frist_1 Last name_158,Reading,Rarely,2,Yes
Frist_2 Last name_46,Volunteering,Rarely,2,Yes
Frist_2 Last name_46,Traveling,Daily,5,Yes
Frist_2 Last name_46,Cooking,Daily,5,Yes
Frist_2 Last name_46,Social Media,Weekly,2,No
Frist_2 Last name_46,Reading,Weekly,3,Yes
Frist_2 Last name_46,Music,Rarely,4,Yes
Frist_2 Last name_46,Movies,Rarely,3,Yes
Frist_2 Last name_46,Outdoor Sports,Monthly,4,Yes
Frist_2 Last name_91,Outdoor Sports,Weekly,2,Yes
Frist_2 Last name_91,Social Media,Daily,2,Yes
Frist_2 Last name_91,Traveling,Daily,3,Yes
Frist_2 Last name_91,Reading,Rarely,5,No
Frist_2 Last name_91,Movies,Monthly,3,Yes
Frist_2 Last name_91,Music,Rarely,2,Yes
Frist_2 Last name_91,Cooking,Monthly,2,No
Frist_2 Last name_91,Volunteering,Rarely,2,Yes
Frist_2 Last name_163,Social Media,Daily,5,No
Frist_2 Last name_163,Traveling,Daily,1,No
Frist_2 Last name_163,Reading,Rarely,2,Yes
Frist_2 Last name_163,Music,Monthly,4,Yes
Frist_2 Last name_163,Movies,Monthly,5,No
Frist_2 Last name_10,Traveling,Weekly,4,Yes
Frist_2 Last name_10,Outdoor Sports,Rarely,4,Yes
Frist_2 Last name_10,Movies,Weekly,1,Yes
Frist_2 Last name_10,Volunteering,Monthly,4,No
Frist_2 Last name_10,Music,Monthly,2,No
Frist_2 Last name_82,Volunteering,Daily,4,Yes
Frist_2 Last name_82,Social Media,Daily,2,No
Frist_2 Last name_82,Reading,Rarely,2,Yes
Frist_2 Last name_82,Cooking,Monthly,4,Yes
Frist_2 Last name_82,Outdoor Sports,Weekly,4,No
